Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Date,Time,Time_in_Seconds,Cluster
LARCENY/THEFT,ATTEMPTED GRAND THEFT FROM PERSON,Sunday,TENDERLOIN,NONE,100 Block of POWELL ST,-122.407877787733,37.785968007677496,2010-07-04,23:00:00,82800,3
ASSAULT,BATTERY OF A POLICE OFFICER,Saturday,PARK,"ARREST, BOOKED",2400 Block of GEARY BL,-122.443597047511,37.7826435280939,2004-06-26,22:43:00,81780,1
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Saturday,SOUTHERN,"ARREST, CITED",HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,2013-02-09,21:26:00,77160,3
WEAPON LAWS,POSS OF PROHIBITED WEAPON,Sunday,NORTHERN,"ARREST, CITED",VANNESS AV / HAYES ST,-122.419697721691,37.7773009526003,2006-12-03,22:30:00,81000,3
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Sunday,PARK,NONE,BEULAH ST / SHRADER ST,-122.451487621201,37.7675163302514,2014-09-21,08:45:00,31500,1
NON-CRIMINAL,LOST PROPERTY,Sunday,TENDERLOIN,NONE,EDDY ST / JONES ST,-122.412597377187,37.783932027727296,2010-08-29,18:00:00,64800,3
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,NORTHERN,NONE,100 Block of HAIGHT ST,-122.424641091359,37.7727894803653,2013-02-10,17:00:00,61200,3
FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Tuesday,NORTHERN,NONE,200 Block of FELL ST,-122.421972783252,37.775998080669495,2011-08-09,12:00:00,43200,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,RICHMOND,NONE,1700 Block of LYON ST,-122.445238867648,37.7869774248844,2013-06-02,21:00:00,75600,1
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,CENTRAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,1200 Block of CALIFORNIA ST,-122.414933495731,37.79125515439979,2004-04-16,08:00:00,28800,2
